year,round,lap,driver,position,laptime
2022,11,1,max_verstappen,1,72.722
2022,11,1,leclerc,2,73.649
2022,11,1,sainz,3,74.784
2022,11,1,russell,4,76.191
2022,11,1,ocon,5,76.866
2022,11,1,kevin_magnussen,6,77.387
2022,11,1,hamilton,7,77.789
2022,11,1,mick_schumacher,8,78.14699999999999
2022,11,1,ricciardo,9,78.733
2022,11,1,norris,10,79.021
2022,11,1,stroll,11,79.383
2022,11,1,gasly,12,79.917
2022,11,1,albon,13,80.172
2022,11,1,zhou,14,80.617
2022,11,1,tsunoda,15,80.923
2022,11,1,latifi,16,81.35300000000001
2022,11,1,vettel,17,81.543
2022,11,1,alonso,18,81.839
2022,11,1,bottas,19,82.91
2022,11,1,perez,20,113.30199999999999
2022,11,2,max_verstappen,1,70.373
2022,11,2,leclerc,2,70.609
2022,11,2,sainz,3,70.766
2022,11,2,russell,4,71.416
2022,11,2,ocon,5,71.713
2022,11,2,kevin_magnussen,6,72.047
2022,11,2,hamilton,7,72.174
2022,11,2,mick_schumacher,8,72.38
2022,11,2,ricciardo,9,72.67099999999999
2022,11,2,norris,10,72.967
2022,11,2,stroll,11,73.225
2022,11,2,gasly,12,73.286
2022,11,2,albon,13,73.449
2022,11,2,tsunoda,14,73.25
2022,11,2,zhou,15,74.001
2022,11,2,latifi,16,73.703
2022,11,2,alonso,17,73.56700000000001
2022,11,2,vettel,18,74.284
2022,11,2,bottas,19,73.361
2022,11,2,perez,20,91.169
2022,11,3,max_verstappen,1,70.16499999999999
2022,11,3,leclerc,2,69.928
2022,11,3,sainz,3,70.385
2022,11,3,russell,4,71.458
2022,11,3,ocon,5,71.312
2022,11,3,kevin_magnussen,6,71.253
2022,11,3,hamilton,7,71.217
2022,11,3,mick_schumacher,8,71.148
2022,11,3,ricciardo,9,71.55
2022,11,3,norris,10,71.719
2022,11,3,stroll,11,71.80199999999999
2022,11,3,gasly,12,71.885
2022,11,3,albon,13,71.94
2022,11,3,tsunoda,14,72.132
2022,11,3,zhou,15,72.106
2022,11,3,latifi,16,72.131
2022,11,3,alonso,17,72.105
2022,11,3,vettel,18,72.553
2022,11,3,bottas,19,72.516
2022,11,3,perez,20,71.899
2022,11,4,max_verstappen,1,70.128
2022,11,4,leclerc,2,70.138
2022,11,4,sainz,3,70.324
2022,11,4,russell,4,71.127
2022,11,4,ocon,5,71.191
2022,11,4,kevin_magnussen,6,71.06700000000001
2022,11,4,mick_schumacher,7,70.675
2022,11,4,hamilton,8,71.80199999999999
2022,11,4,ricciardo,9,71.596
2022,11,4,norris,10,71.325
2022,11,4,stroll,11,71.387
2022,11,4,gasly,12,71.431
2022,11,4,albon,13,71.721
2022,11,4,tsunoda,14,71.779
2022,11,4,zhou,15,71.717
2022,11,4,latifi,16,71.895
2022,11,4,alonso,17,72.17699999999999
2022,11,4,vettel,18,72.072
2022,11,4,bottas,19,72.055
2022,11,4,perez,20,71.854
2022,11,5,max_verstappen,1,70.26
2022,11,5,leclerc,2,70.268
2022,11,5,sainz,3,70.4
2022,11,5,russell,4,71.627
2022,11,5,ocon,5,71.47
2022,11,5,kevin_magnussen,6,71.285
2022,11,5,mick_schumacher,7,71.114
2022,11,5,hamilton,8,71.123
2022,11,5,norris,9,71.41499999999999
2022,11,5,ricciardo,10,72.715
2022,11,5,stroll,11,72.002
2022,11,5,gasly,12,71.81700000000001
2022,11,5,albon,13,71.806
2022,11,5,tsunoda,14,71.853
2022,11,5,zhou,15,71.855
2022,11,5,latifi,16,71.989
2022,11,5,alonso,17,71.67
2022,11,5,vettel,18,71.656
2022,11,5,bottas,19,71.924
2022,11,5,perez,20,71.843
2022,11,6,max_verstappen,1,70.357
2022,11,6,leclerc,2,70.32900000000001
2022,11,6,sainz,3,70.441
2022,11,6,russell,4,71.569
2022,11,6,ocon,5,71.655
2022,11,6,kevin_magnussen,6,71.724
2022,11,6,mick_schumacher,7,71.686
2022,11,6,hamilton,8,71.533
2022,11,6,norris,9,71.651
2022,11,6,ricciardo,10,71.745
2022,11,6,stroll,11,71.867
2022,11,6,gasly,12,72.001
2022,11,6,albon,13,71.94
