year,round,lap,driver,position,laptime
2022,20,1,max_verstappen,1,85.253
2022,20,1,hamilton,2,86.652
2022,20,1,perez,3,87.95
2022,20,1,russell,4,88.892
2022,20,1,sainz,5,89.763
2022,20,1,leclerc,6,90.438
2022,20,1,alonso,7,91.059
2022,20,1,bottas,8,91.463
2022,20,1,ocon,9,92.04599999999999
2022,20,1,norris,10,92.431
2022,20,1,tsunoda,11,92.981
2022,20,1,zhou,12,93.553
2022,20,1,ricciardo,13,93.983
2022,20,1,vettel,14,94.42
2022,20,1,stroll,15,94.964
2022,20,1,gasly,16,95.417
2022,20,1,mick_schumacher,17,95.788
2022,20,1,kevin_magnussen,18,96.469
2022,20,1,albon,19,96.90299999999999
2022,20,1,latifi,20,97.282
2022,20,2,max_verstappen,1,83.247
2022,20,2,hamilton,2,83.313
2022,20,2,perez,3,83.436
2022,20,2,russell,4,83.76
2022,20,2,sainz,5,84.093
2022,20,2,leclerc,6,84.71000000000001
2022,20,2,alonso,7,85.187
2022,20,2,bottas,8,85.388
2022,20,2,ocon,9,85.67699999999999
2022,20,2,norris,10,85.709
2022,20,2,tsunoda,11,85.857
2022,20,2,zhou,12,85.89
2022,20,2,ricciardo,13,85.959
2022,20,2,vettel,14,85.968
2022,20,2,stroll,15,86.209
2022,20,2,gasly,16,86.197
2022,20,2,mick_schumacher,17,86.402
2022,20,2,kevin_magnussen,18,86.763
2022,20,2,albon,19,86.789
2022,20,2,latifi,20,87.027
2022,20,3,max_verstappen,1,83.07900000000001
2022,20,3,hamilton,2,83.263
2022,20,3,perez,3,83.343
2022,20,3,russell,4,83.656
2022,20,3,sainz,5,83.868
2022,20,3,leclerc,6,83.814
2022,20,3,alonso,7,84.77799999999999
2022,20,3,bottas,8,84.837
2022,20,3,ocon,9,84.898
2022,20,3,norris,10,85.201
2022,20,3,tsunoda,11,85.315
2022,20,3,zhou,12,85.938
2022,20,3,ricciardo,13,86.17
2022,20,3,vettel,14,86.30199999999999
2022,20,3,stroll,15,86.244
2022,20,3,gasly,16,86.285
2022,20,3,mick_schumacher,17,86.319
2022,20,3,kevin_magnussen,18,86.414
2022,20,3,albon,19,86.695
2022,20,3,latifi,20,86.576
2022,20,4,max_verstappen,1,83.566
2022,20,4,hamilton,2,83.407
2022,20,4,perez,3,83.207
2022,20,4,russell,4,83.549
2022,20,4,sainz,5,83.881
2022,20,4,leclerc,6,83.858
2022,20,4,alonso,7,84.854
2022,20,4,bottas,8,84.805
2022,20,4,ocon,9,84.861
2022,20,4,norris,10,84.748
2022,20,4,tsunoda,11,84.8
2022,20,4,zhou,12,85.401
2022,20,4,ricciardo,13,85.498
2022,20,4,vettel,14,85.418
2022,20,4,stroll,15,85.688
2022,20,4,gasly,16,85.87
2022,20,4,mick_schumacher,17,85.828
2022,20,4,kevin_magnussen,18,85.794
2022,20,4,albon,19,85.629
2022,20,4,latifi,20,85.93
2022,20,5,max_verstappen,1,83.226
2022,20,5,hamilton,2,83.063
2022,20,5,perez,3,83.231
2022,20,5,russell,4,83.26599999999999
2022,20,5,sainz,5,83.797
2022,20,5,leclerc,6,84.039
2022,20,5,alonso,7,84.856
2022,20,5,bottas,8,85.064
2022,20,5,ocon,9,85.03
2022,20,5,norris,10,84.904
2022,20,5,tsunoda,11,84.943
2022,20,5,zhou,12,84.652
2022,20,5,ricciardo,13,84.721
2022,20,5,vettel,14,85.106
2022,20,5,stroll,15,85.089
2022,20,5,gasly,16,85.322
2022,20,5,mick_schumacher,17,85.562
2022,20,5,albon,18,85.875
2022,20,5,kevin_magnussen,19,87.429
2022,20,5,latifi,20,86.477
2022,20,6,max_verstappen,1,83.294
2022,20,6,hamilton,2,83.218
2022,20,6,perez,3,83.285
2022,20,6,russell,4,83.549
2022,20,6,sainz,5,83.899
2022,20,6,leclerc,6,83.934
2022,20,6,alonso,7,84.426
2022,20,6,bottas,8,84.67099999999999
2022,20,6,ocon,9,84.604
2022,20,6,norris,10,84.702
2022,20,6,tsunoda,11,85.123
2022,20,6,zhou,12,84.795
2022,20,6,ricciardo,13,84.629
2022,20,6,vettel,14,84.607
2022,20,6,stroll,15,84.711
2022,20,6,gasly,16,84.622
2022,20,6,mick_schumacher,17,85.155
2022,20,6,albon,18,85.108
2022,20,6,kevin_magnussen,19,85.904
2022,20,6,latifi,20,86.053
2022,20,7,max_verstappen,1,83.115
2022,20,7,hamilton,2,83.301
2022,20,7,perez,3,83.40899999999999
2022,20,7,russell,4,83.22
2022,20,7,sainz,5,83.787
2022,20,7,leclerc,6,84.002
2022,20,7,alonso,7,84.53
2022,20,7,bottas,8,84.431
2022,20,7,ocon,9,84.59700000000001
2022,20,7,norris,10,85.211
2022,20,7,tsunoda,11,85.002
2022,20,7,zhou,12,85.524
2022,20,7,ricciardo,13,85.571
2022,20,7,vettel,14,85.40299999999999
2022,20,7,stroll,15,85.471
2022,20,7,gasly,16,85.334
2022,20,7,mick_schumacher,17,85.689
2022,20,7,albon,18,85.05
